event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,state_code,US_State,Abbreviation
20020917X02423,Accident,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,Cessna,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,MO,Missouri,MO
20020917X02289,Accident,1982-01-10,"UPLAND, CA",United States,Non-Fatal,Substantial,Airplane,Quickie,1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,CA,California,CA
20020917X02306,Accident,1982-01-17,"MOJAVE, CA",United States,Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,CA,California,CA
20020917X02296,Accident,1982-01-19,"KINGMAN, AZ",United States,Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,AZ,Arizona,AZ
20020917X01762,Accident,1982-01-21,"NEW ALBANY, MS",United States,Fatal(1),Destroyed,Airplane,Grumman,AA-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,MS,Mississippi,MS
20020917X01782,Accident,1982-01-21,"SHELL LAKE, WI",United States,Non-Fatal,Substantial,Airplane,Mooney,M-20,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,WI,Wisconsin,WI
20020917X02307,Accident,1982-01-22,"LANCASTER, CA",United States,Fatal(2),Destroyed,Airplane,Sons Mustang,II,Yes,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Unknown,CA,California,CA
20020917X02261,Accident,1982-01-27,"LAGUNITAS, CA",United States,Fatal(1),Destroyed,Helicopter,Bell,UH1B,Yes,1.0,Turbo Shaft,Unknown,1.0,0.0,0.0,0.0,VMC,Maneuvering,CA,California,CA
20020917X02165,Accident,1982-01-28,"FOWLER, CA",United States,Non-Fatal,Substantial,Airplane,Mooney,M20C,Yes,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,CA,California,CA
20020917X01963,Accident,1982-02-02,"WEST JORDAN, UT",United States,Non-Fatal,Substantial,Airplane,Smith Miniplane,BK-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,UT,Utah,UT
20020917X01665,Accident,1982-02-05,"LUVERNE, AL",United States,Non-Fatal,Substantial,Airplane,Cessna,T210L,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Climb,AL,Alabama,AL
20020917X02284,Accident,1982-02-07,"KALAUPAPA, HI",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,Yes,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Landing,HI,Hawaii,HI
20020917X02326,Accident,1982-02-20,"MORGAN HILL, CA",United States,Non-Fatal,Destroyed,Airplane,Pitts,51,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Maneuvering,CA,California,CA
20020917X02126,Accident,1982-02-20,"FORT SUMNER, NM",United States,Fatal(2),Destroyed,Airplane,Cessna,182Q,Yes,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,NM,New Mexico,NM
20020917X01821,Accident,1982-02-26,"MANCHESTER, MI",United States,Non-Fatal,Substantial,Airplane,Cessna,150,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,MI,Michigan,MI
20020917X01672,Accident,1982-03-01,"LAUREL, MS",United States,Non-Fatal,Destroyed,Airplane,Homebuilt,PDQ-2,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Taxi,MS,Mississippi,MS
20020917X02036,Accident,1982-03-08,"HEMPSTEAD, TX",United States,Non-Fatal,Substantial,Glider,Schreder,RS-15,Yes,0.0,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,TX,Texas,TX
20020917X02302,Accident,1982-03-10,"TUCSON, AZ",United States,Non-Fatal,Substantial,Airplane,Hatz,CB-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,AZ,Arizona,AZ
20020917X02541,Accident,1982-03-11,"BLOOMFIELD, CT",United States,Fatal(1),Destroyed,Airplane,Cessna,T337C,Yes,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,CT,Connecticut,CT
20020917X02417,Accident,1982-03-13,"TARPON SPRINGS, FL",United States,Non-Fatal,Destroyed,Airplane,Crook,M-1,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Climb,FL,Florida,FL
20020917X02154,Accident,1982-03-13,"GLENDALE, AZ",United States,Fatal(6),Destroyed,Airplane,American Yankee,AA-1,Yes,1.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,UNK,Cruise,AZ,Arizona,AZ
20020917X02041,Accident,1982-03-13,"GRAND PRAIRIE, TX",United States,Non-Fatal,Substantial,Airplane,Colonial,C-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,TX,Texas,TX
20020917X01761,Accident,1982-03-18,"KNIGHTDALE, NC",United States,Fatal(2),Destroyed,Airplane,Bede Aircraft,BD-4,Yes,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Approach,NC,North Carolina,NC
20020917X02322,Accident,1982-03-19,"FOLSOM, CA",United States,Non-Fatal,Destroyed,Airplane,Cessna,182,Yes,1.0,Reciprocating,Personal,0.0,3.0,2.0,0.0,VMC,Cruise,CA,California,CA
20020917X02407,Accident,1982-03-20,"MINNEOLA, FL",United States,Fatal(1),Destroyed,Gyrocraft,Benson,B-8M,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,FL,Florida,FL
20020917X01763,Accident,1982-03-20,"GREENFIELD, TN",United States,Fatal(1),Destroyed,Airplane,Cessna,172N,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,TN,Tennessee,TN
20020917X02376,Accident,1982-03-20,"BROOKSVILLE, FL",United States,Non-Fatal,Substantial,Airplane,Mckinley Eaa,P-2 BIPLANE,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,FL,Florida,FL
20020917X02047,Accident,1982-03-20,"EL PASO, TX",United States,Non-Fatal,Substantial,Glider,Airmate,HP-10,Yes,0.0,Unknown,Personal,0.0,0.0,1.0,0.0,VMC,Climb,TX,Texas,TX
20020917X02310,Accident,1982-03-22,"OXNARD, CA",United States,Fatal(1),Destroyed,Airplane,Cessna,150M,Yes,1.0,Reciprocating,Instructional,1.0,0.0,0.0,0.0,VMC,Approach,CA,California,CA
20020917X01691,Accident,1982-03-24,"RUSSELLVILLE, KY",United States,Non-Fatal,Substantial,Airplane,Cessna,152,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,KY,Kentucky,KY
20020917X02614,Accident,1982-03-25,"JEROME, ID",United States,Non-Fatal,Destroyed,Helicopter,Rotorway,SCORPION TOO,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Taxi,ID,Idaho,ID
20020917X02292,Accident,1982-03-27,"RIALTO, CA",United States,Non-Fatal,Substantial,Glider,Fournier Aviation,RF4D,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Maneuvering,CA,California,CA
20020917X02597,Accident,1982-03-29,"CAMAS, WA",United States,Non-Fatal,Substantial,Airplane,Cessna,150H,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,WA,Washington,WA
20020917X01693,Accident,1982-04-01,"HAZLEHURST, GA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,GA,Georgia,GA
20020917X02456,Accident,1982-04-02,"HEBRON, NE",United States,Non-Fatal,Substantial,Airplane,Cessna,205,Yes,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Taxi,NE,Nebraska,NE
20020917X02060,Accident,1982-04-08,"HEREFORD, TX",United States,Non-Fatal,Substantial,Airplane,Beech,C-18S,Yes,2.0,Reciprocating,Personal,0.0,0.0,0.0,9.0,VMC,Cruise,TX,Texas,TX
20020917X02090,Accident,1982-04-09,"BARTLESVILLE, OK",United States,Non-Fatal,Destroyed,Airplane,Jurca,3/4 SPITFIRE,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,OK,Oklahoma,OK
20020917X02469,Accident,1982-04-11,"GRAIN VALLEY, MO",United States,Non-Fatal,Substantial,Airplane,Martin-pitts,S1S,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,MO,Missouri,MO
20020917X02458,Accident,1982-04-14,"WENTZVILLE, MO",United States,Non-Fatal,Substantial,Airplane,Cessna,177,Yes,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Landing,MO,Missouri,MO
20020917X01860,Accident,1982-04-14,"PLYMOUTH, MI",United States,Non-Fatal,Substantial,Airplane,Rand,K.R.1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,MI,Michigan,MI
20020917X02320,Accident,1982-04-15,"CONCORD, CA",United States,Non-Fatal,Substantial,Airplane,Rutan,VARIEZE,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,CA,California,CA
20020917X02607,Accident,1982-04-16,"ATHOL, ID",United States,Non-Fatal,Substantial,Airplane,Evans Aircraft,VP2,Yes,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Approach,ID,Idaho,ID
20020917X02324,Accident,1982-04-18,"CHICAGO PARK, CA",United States,Fatal(1),Destroyed,Airplane,Smith,MINIPLANE DSA-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,CA,California,CA
20020917X02118,Accident,1982-04-18,"CLARKSVILLE, AR",United States,Non-Fatal,Destroyed,Airplane,Stampe Renard,SV4B,Yes,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,Landing,AR,Arkansas,AR
20020917X02078,Accident,1982-04-18,"LIBERTY HILL, TX",United States,Non-Fatal,Substantial,Airplane,Evans Aircraft,VP-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,TX,Texas,TX
20020917X02085,Accident,1982-04-22,"CARLSBAD, NM",United States,Non-Fatal,Substantial,Airplane,Tailwind,A-M-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,NM,New Mexico,NM
20020917X02569,Accident,1982-04-23,"WARREN, VT",United States,Non-Fatal,Substantial,Airplane,Aerotek-pitts,S-2A,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,VT,Vermont,VT
20020917X01868,Accident,1982-04-24,"COLUMBUS, OH",United States,Non-Fatal,Substantial,Airplane,Hartman,KR-II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,OH,Ohio,OH
